# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12980
#@/user_id	lab_macos
a 	吖	c=1 d=1.22815e-06 t=12980
wang guan 	網管	c=2 d=0.722527 t=12980
wang guan 	網關	c=6 d=0.351692 t=12980
wang hui zou 	往回走	c=1 d=9.16765e-08 t=12980
wang ji le 	忘記了	c=1 d=0.000243596 t=12980
wang jia hai 	王佳海	c=1 d=0.0208584 t=12980
wang ka 	網卡	c=5 d=0.00606634 t=12980
wang kou 	網扣	c=1 d=0.690734 t=12980
wang kun 	王坤	c=1 d=2.93249e-10 t=12980
wang le 	忘了	c=5 d=0.900861 t=12980
wang luo 	網絡	c=40 d=0.505191 t=12980
wang luo she bei 	網絡設備	c=4 d=1.89969e-08 t=12980
wang pan 	網盤	c=13 d=0.185344 t=12980
wang shang 	往上	c=1 d=0.00189223 t=12980
wang shang 	網上	c=1 d=0.126818 t=12980
wang su 	網速	c=1 d=2.81023e-09 t=12980
wang ye 	網頁	c=3 d=5.0404e-05 t=12980
wang yi 	網易	c=1 d=0.200132 t=12980
wang yi yun 	網易雲	c=1 d=0.18452 t=12980
wang zha 	網閘	c=12 d=0.00140072 t=12980
wang zhan 	網站	c=4 d=2.72625e-05 t=12980
wang zong 	王總	c=1 d=2.27715e-05 t=12980
wei 	微	c=1 d=0.810584 t=12980
wei 	爲	c=13 d=0.834178 t=12980
wei bao 	維保	c=3 d=9.33038e-09 t=12980
wei bao dao qi 	維保到期	c=1 d=3.91192e-09 t=12980
wei bao dao qi shi jian 	維保到期時間	c=1 d=3.59041e-09 t=12980
wei bao ri qi 	維保日期	c=1 d=3.53695e-09 t=12980
wei chi 	維持	c=1 d=5.99251e-06 t=12980
wei fu wu 	微服務	c=2 d=1.94347e-05 t=12980
wei hu 	維護	c=3 d=0.657549 t=12980
wei hu guo 	維護過	c=1 d=0.603506 t=12980
wei hun 	未婚	c=1 d=9.35762e-14 t=12980
wei le 	爲了	c=5 d=1.92148e-07 t=12980
wei sha 	爲啥	c=4 d=0.377427 t=12980
wei shen me 	爲什麼	c=3 d=2.0644e-05 t=12980
wei sheng 	衛生	c=1 d=0.00305798 t=12980
wei xin 	微信	c=9 d=1.64156 t=12980
wei xing 	微星	c=1 d=0.386741 t=12980
wei xiu gai 	未修改	c=1 d=1.83693e-07 t=12980
wei yi 	唯一	c=2 d=8.48182e-05 t=12980
wei yu 	位於	c=1 d=9.61444e-09 t=12980
wei zhi 	位置	c=2 d=0.0161635 t=12980
wei zhun 	爲準	c=2 d=2.14491e-07 t=12980
wen 	問	c=8 d=0.0539774 t=12980
wen ben 	文本	c=0 d=0.0470011 t=12980
wen ben ding wei 	文本定位	c=1 d=0.472367 t=12980
wen ben kuang 	文本框	c=1 d=3.68067e-07 t=12980
wen dang 	文檔	c=15 d=1.44507 t=12980
wen ding 	穩定	c=1 d=7.03228e-06 t=12980
wen guo 	問過	c=0 d=0.0225373 t=12980
wen guo ta 	問過他	c=1 d=0.226502 t=12980
wen jian 	文件	c=29 d=3.14645 t=12980
wen jian jia 	文件夾	c=9 d=0.225546 t=12980
wen jian jia a 	文件夾阿	c=1 d=1.38832e-07 t=12980
wen jian tuo zhan ming 	文件拓展名	c=1 d=1.67449e-06 t=12980
wen jian xi tong 	文件系統	c=2 d=2.8375e-08 t=12980
wen le 	吻了	c=1 d=0.000614317 t=12980
wen qing chu 	問清楚	c=1 d=9.95521e-07 t=12980
wen ti 	問題	c=35 d=1.25993 t=12980
wen wan 	問完	c=1 d=0.000432902 t=12980
wen wen 	問問	c=22 d=0.795659 t=12980
wen wen dang dang 	穩穩當當	c=1 d=0.0216013 t=12980
wen wo 	問我	c=2 d=5.35535e-07 t=12980
wo 	我	c=375 d=10.5933 t=12980
wo ben lai 	我本來	c=1 d=0.107528 t=12980
wo bu que ding 	我不確定	c=1 d=1.3545e-11 t=12980
wo cai 	我猜	c=1 d=2.511e-08 t=12980
wo de 	我的	c=1 d=0.0837432 t=12980
wo dou 	我都	c=0 d=3.51931e-10 t=12980
wo dou xing 	我都行	c=1 d=3.53695e-09 t=12980
wo fa xian 	我發現	c=1 d=0.740818 t=12980
wo gan jue 	我感觉	c=2 d=0.774916 t=12980
wo hao xiang 	我好像	c=1 d=0.0333733 t=12980
wo ji de 	我記得	c=2 d=0.00133343 t=12980
wo jin tian 	我今天	c=1 d=1.79621e-08 t=12980
wo jiu 	我就	c=2 d=0.216536 t=12980
wo jiu shi 	我就是	c=1 d=0.00042433 t=12980
wo jiu shuo 	我就說	c=2 d=0.0458151 t=12980
wo jiu shuo ba 	我就說把	c=1 d=0.000854495 t=12980
wo jiu wen ta 	我就問他	c=1 d=0.16696 t=12980
wo jue de 	我覺得	c=1 d=0.00348252 t=12980
wo kan ge 	我看個	c=1 d=1.51984e-13 t=12980
wo kan xia 	我看下	c=2 d=1.51346e-07 t=12980
wo kao 	我靠	c=2 d=0.588605 t=12980
wo lai 	我來	c=1 d=0.847894 t=12980
wo le 	我了	c=0 d=4.50569e-05 t=12980
wo lia 	我倆	c=2 d=0.000606168 t=12980
wo mai le 	我買了	c=1 d=0.718924 t=12980
wo men 	我們	c=21 d=0.309749 t=12980
wo na zhi dao 	我哪知道	c=2 d=1.73781e-12 t=12980
wo niu 	蝸牛	c=2 d=0.439072 t=12980
wo qu 	我去	c=1 d=0.955997 t=12980
wo rang ta 	我讓他	c=1 d=0.00255424 t=12980
wo rang ta men 	我讓他們	c=1 d=0.0124629 t=12980
wo ren song le 	我認慫了	c=1 d=0.00246639 t=12980
wo shi le 	我試了	c=1 d=0.120032 t=12980
wo shuo 	我說	c=12 d=1.773 t=12980
wo tai you 	我太有	c=1 d=0.0330412 t=12980
wo te bie 	我特別	c=2 d=0.873716 t=12980
wo wen 	我問	c=1 d=0.00543443 t=12980
wo xian 	我先	c=1 d=0.00278085 t=12980
wo xian zai 	我現在	c=1 d=5.50607e-10 t=12980
wo xin si 	我心思	c=1 d=0.000564257 t=12980
wo yao 	我要	c=0 d=3.10631e-12 t=12980
wo yao ta 	我要他	c=1 d=3.12188e-11 t=12980
wo yi jing 	我已經	c=1 d=4.05934e-12 t=12980
wo you ge 	我有個	c=1 d=0.00098783 t=12980
wo zai 	我再	c=1 d=0.000534061 t=12980
wo zai xia yi ci 	我再下一次	c=1 d=0.00255424 t=12980
wo zhe 	我這	c=2 d=0.000921645 t=12980
wo zhe bian 	我這邊	c=12 d=0.454151 t=12980
wo zhe ge 	我這個	c=1 d=0.0023461 t=12980
wo zhi ju 	我之居	c=1 d=0.00247875 t=12980
wo zhun bei 	我準備	c=2 d=0.000330468 t=12980
wu 	五	c=1 d=0.579842 t=12980
wu 	吳	c=5 d=0.467768 t=12980
wu 	無	c=3 d=1.03626 t=12980
wu dian 	五點	c=1 d=9.42727e-13 t=12980
wu dian ban 	五點半	c=1 d=9.2136e-08 t=12980
wu dian ban 	🕠	c=1 d=9.12192e-08 t=12980
wu dian duo 	五点多	c=2 d=2.71315e-06 t=12980
wu fa 	無法	c=7 d=0.188247 t=12980
wu fen zhong 	五分鐘	c=2 d=2.08116e-05 t=12980
wu gang 	吳剛	c=1 d=0.0273237 t=12980
wu guan 	無關	c=1 d=8.58924e-06 t=12980
wu han 	武漢	c=1 d=0.190139 t=12980
wu li 	物理	c=6 d=0.000385874 t=12980
wu li ji 	物理级	c=2 d=1.93288e-10 t=12980
wu lian wang 	物联网	c=1 d=3.11435e-12 t=12980
wu liu zhong xin 	物流中心	c=1 d=1.66241e-09 t=12980
wu lu 	無路	c=0 d=3.8901e-12 t=12980
wu lu ke zou 	無路可走	c=1 d=4.38608e-11 t=12980
wu lun 	無論	c=2 d=0.00981002 t=12980
wu qian 	五千	c=1 d=0.00142298 t=12980
wu tong 	無痛	c=1 d=0.0617512 t=12980
wu tong shi yong 	無痛使用	c=1 d=0.0450492 t=12980
wu xian 	無線	c=2 d=1.46423e-08 t=12980
wu xiao 	無效	c=1 d=9.86118e-13 t=12980
wu zhuang tai 	無狀態	c=1 d=6.25428e-09 t=12980
wu zong 	吳總	c=4 d=0.0272236 t=12980
wu zong 	無蹤	c=1 d=0.0315873 t=12980
xi 	吸	c=1 d=1 t=12980
xi an 	西安	c=1 d=0.191092 t=12980
xi da shan 	西大山	c=1 d=0.946485 t=12980
xi huan 	喜歡	c=1 d=0.00143728 t=12980
xi jie 	細節	c=2 d=0.0765394 t=12980
xi la 	希臘	c=1 d=3.44013e-06 t=12980
xi lie 	系列	c=1 d=0.0023344 t=12980
xi nao 	洗腦	c=1 d=2.96811e-05 t=12980
xi tong 	系統	c=16 d=2.65304 t=12980
xi tong guang pan 	系統光盤	c=1 d=7.69585e-08 t=12980
xi tong na ge 	系統那個	c=1 d=0.000792752 t=12980
xi tong pan 	系統盤	c=1 d=0.826959 t=12980
xi wang 	希望	c=2 d=0.00170362 t=12980
xi xi 	嘻嘻	c=0 d=5.77244e-08 t=12980
xi xi a 	嘻嘻阿	c=1 d=5.80138e-07 t=12980
xi yi xi 	吸一吸	c=2 d=0.000978001 t=12980
xia 	下	c=44 d=2.05609 t=12980
xia 	瞎	c=6 d=0.000608874 t=12980
xia bian 	瞎編	c=1 d=8.1759e-14 t=12980
xia bu dao 	下不到	c=1 d=0.900325 t=12980
xia chen 	下沉	c=1 d=0.0247235 t=12980
xia de 	嚇得	c=2 d=1.52266e-11 t=12980
xia ge 	下個	c=1 d=0.162838 t=12980
xia hao le 	下好了	c=1 d=0.748264 t=12980
xia hua xian 	下劃線	c=2 d=0.000220592 t=12980
xia hui 	下回	c=1 d=5.42594e-14 t=12980
xia mian 	下面	c=4 d=0.843328 t=12980
xia qu 	下去	c=1 d=0.733447 t=12980
xia shuo 	瞎說	c=1 d=0.202909 t=12980
xia wan 	下完	c=1 d=0.00246639 t=12980
xia wu 	下午	c=7 d=0.000562101 t=12980
xia yi 	下一	c=0 d=0.000319873 t=12980
xia yi ban 	下一半	c=2 d=0.00664545 t=12980
xia yi ban 	下一班	c=1 d=0.00319873 t=12980
xia yi bu 	下一步	c=2 d=1.09314 t=12980
xia yi ci 	下一次	c=0 d=0.00025415 t=12980
xia yi ge 	下一個	c=2 d=0.00125578 t=12980
xia zai 	下載	c=6 d=0.212248 t=12980
xia zai yuan 	下載源	c=2 d=0.0314526 t=12980
xia zai zhi 	下載至	c=1 d=0.0639279 t=12980
xia zhou 	下週	c=6 d=0.0019363 t=12980
xian 	先	c=31 d=1.19931 t=12980
xian 	線	c=4 d=0.355406 t=12980
xian chang 	現場	c=1 d=0.120633 t=12980
xian cheng 	現成	c=2 d=0.00266513 t=12980
xian dao 	先到	c=1 d=0.327915 t=12980
xian gei wo 	先給我	c=1 d=6.9144e-13 t=12980
xian jiang 	先將	c=1 d=1.26272e-09 t=12980
xian ka 	顯卡	c=3 d=0.151829 t=12980
xian shi 	顯示	c=13 d=1.93605 t=12980
xian shi qi 	顯示器	c=8 d=0.751871 t=12980
xian su 	限速	c=1 d=0.00286554 t=12980
xian xiang 	現象	c=3 d=0.044601 t=12980
xian you 	現有	c=3 d=0.0223293 t=12980
xian you ye wu 	現有業務	c=1 d=0.0678809 t=12980
xian zai 	現在	c=25 d=0.674367 t=12980
xian zhi 	限制	c=4 d=0.369207 t=12980
xian zhi le 	限制了	c=1 d=0.00283702 t=12980
xiang 	像	c=2 d=0.000322344 t=12980
xiang 	想	c=4 d=0.529935 t=12980
xiang 	祥	c=4 d=0.00757424 t=12980
xiang 	香	c=1 d=3.21696e-11 t=12980
xiang dang yu 	相當於	c=2 d=1.49588e-05 t=12980
xiang de 	想得	c=1 d=0.00600598 t=12980
xiang fa 	想法	c=1 d=0.000269215 t=12980
xiang fan 	相反	c=1 d=6.89303e-06 t=12980
xiang guan 	相關	c=1 d=0.00396599 t=12980
xiang guan lian 	相關聯	c=2 d=0.000144317 t=12980
xiang hu 	相互	c=2 d=2.55701e-08 t=12980
xiang jiao 	香蕉	c=2 d=0.000458826 t=12980
xiang mu 	項目	c=14 d=0.12938 t=12980
xiang mu jing li 	項目經理	c=3 d=0.0253494 t=12980
xiang pi pei 	相匹配	c=1 d=0.00290884 t=12980
xiang shi 	像是	c=1 d=3.55347e-05 t=12980
xiang si 	相似	c=3 d=3.98571e-05 t=12980
xiang tong 	相同	c=1 d=1.01301e-05 t=12980
xiang wen 	想問	c=1 d=0.201897 t=12980
xiang xi 	詳細	c=5 d=1.30717e-08 t=12980
xiang ying 	響應	c=1 d=0.00382958 t=12980
xiang yong 	想用	c=1 d=0.109154 t=12980
xiang zi 	箱子	c=1 d=0.00033379 t=12980
xiang zou 	想走	c=1 d=0.331211 t=12980
xiao bai 	小白	c=1 d=0.0569831 t=12980
xiao ban deng 	小板凳	c=1 d=2.12393e-09 t=12980
xiao fei ji 	消費級	c=1 d=0.0387742 t=12980
xiao gong si 	小公司	c=1 d=0.0277367 t=12980
xiao guang gao 	小廣告	c=1 d=0.0475963 t=12980
xiao gui mo 	小規模	c=2 d=0.0461919 t=12980
xiao hui 	銷毀	c=3 d=0.01174 t=12980
xiao ji 	小雞	c=0 d=3.30524e-07 t=12980
xiao ji mo gu 	小雞蘑菇	c=1 d=3.32181e-06 t=12980
xiao mi 	小米	c=1 d=0.0361528 t=12980
xiao ping 	小平	c=2 d=0.103897 t=12980
xiao qing 	校慶	c=1 d=3.19654e-11 t=12980
xiao qing ban 	校慶辦	c=2 d=4.44874e-11 t=12980
xiao qu 	小區	c=2 d=0.481909 t=12980
xiao qu 	校區	c=1 d=1.92645e-08 t=12980
xiao sha gua 	小傻瓜	c=1 d=0.0564161 t=12980
xiao shi 	小時	c=1 d=1.3113e-12 t=12980
xiao shou 	銷售	c=4 d=0.00342851 t=12980
xiao sou 	小溲	c=1 d=3.29671e-05 t=12980
xiao xi 	消息	c=4 d=0.318224 t=12980
xiao you 	校友	c=1 d=1.15663e-06 t=12980
xie 	些	c=3 d=1.32921e-07 t=12980
xie 	寫	c=9 d=1.91683 t=12980
xie 	謝	c=4 d=0.0692522 t=12980
xie bu chu lai 	寫不出來	c=1 d=0.035437 t=12980
xie de 	寫的	c=2 d=0.0196439 t=12980
xie guo 	寫過	c=1 d=5.26379e-10 t=12980
xie le 	寫了	c=2 d=0.955997 t=12980
xie tian 	謝天	c=8 d=1.18845 t=12980
xie tiao 	協調	c=2 d=1.20457e-05 t=12980
xie tong 	協同	c=1 d=0.00848038 t=12980
xie wan 	寫完	c=1 d=1.47112e-12 t=12980
xie xie 	謝謝	c=7 d=0.0124333 t=12980
xie yi 	協議	c=1 d=0.169483 t=12980
xie zai 	卸載	c=1 d=8.52579e-07 t=12980
xie zhe 	寫着	c=0 d=0.00884781 t=12980
xie zuo 	協作	c=1 d=0.00719046 t=12980
xin 	信	c=1 d=0.814647 t=12980
xin 	心	c=1 d=6.20596e-06 t=12980
xin 	新	c=7 d=0.0446026 t=12980
xin 	辛	c=10 d=0.814285 t=12980
xin de 	新的	c=3 d=0.937067 t=12980
xin huan jing 	新環境	c=2 d=4.28968e-09 t=12980
xin jia 	新家	c=1 d=3.57128e-05 t=12980
xin jian 	新建	c=3 d=0.000105288 t=12980
xin kai 	新開	c=1 d=1.5816e-11 t=12980
xin ku 	辛苦	c=1 d=7.47221e-14 t=12980
xin lao shi 	新老師	c=1 d=0.273898 t=12980
xin mi ma 	新密碼	c=1 d=0.00113627 t=12980
xin pei zhi 	新配置	c=1 d=0.00188279 t=12980
xin pian 	芯片	c=1 d=0.00199922 t=12980
xin ren 	信任	c=1 d=0.0349094 t=12980
xin si 	心思	c=1 d=0.000118666 t=12980
xin tai hao 	心態好	c=1 d=0.00132016 t=12980
xin tiao 	心跳	c=2 d=4.14779e-12 t=12980
xin xi 	信息	c=13 d=0.893449 t=12980
xin xi hua 	信息化	c=1 d=0.759572 t=12980
xin xi liang 	信息量	c=1 d=1.07324e-08 t=12980
xin xi zhong xin 	信息中心	c=1 d=0.634448 t=12980
xin xiu gai 	辛修改	c=1 d=1.49645e-07 t=12980
xin zhong xin 	新中新	c=1 d=3.77513e-11 t=12980
xing 	行	c=11 d=0.358173 t=12980
xing bu xing 	行不行	c=1 d=0.588605 t=12980
xing hao 	型號	c=4 d=0.0207543 t=12980
xing jia bi 	性價比	c=2 d=0.024234 t=12980
xing le 	行了	c=2 d=0.119433 t=12980
xing ma 	行嗎	c=1 d=0.00339653 t=12980
xing ming 	姓名	c=2 d=0.377192 t=12980
xing neng 	性能	c=6 d=0.0617291 t=12980
xing qu 	興趣	c=1 d=0.782705 t=12980
xing shi 	形勢	c=2 d=2.70004e-09 t=12980
xing shi 	形式	c=2 d=8.33548e-06 t=12980
xing wei 	行爲	c=2 d=0.00645745 t=12980
xiu gai 	修改	c=20 d=1.26931 t=12980
xu 	旭	c=2 d=0.000117703 t=12980
xu 	續	c=1 d=1.45573e-06 t=12980
xu duo 	許多	c=2 d=1.32701e-05 t=12980
xu lie 	序列	c=1 d=6.55685e-06 t=12980
xu ni 	虛擬	c=2 d=0.000378233 t=12980
xu ni hua 	虛擬化	c=18 d=0.0668723 t=12980
xu ni ji 	虛擬機	c=21 d=0.688781 t=12980
xu ni mu lu 	虛擬目錄	c=3 d=0.50634 t=12980
xu ni wang luo 	虛擬網絡	c=1 d=1.22498e-05 t=12980
xu qi 	續期	c=1 d=3.74533e-06 t=12980
xu qiu 	需求	c=14 d=0.177284 t=12980
xu yao 	需要	c=55 d=1.0403 t=12980
xuan 	宣	c=1 d=0.40657 t=12980
xuan 	選	c=5 d=0.00400055 t=12980
xuan ku 	玄苦	c=1 d=0.00216573 t=12980
xuan xiang 	選項	c=2 d=0.974099 t=12980
xuan ze 	選擇	c=4 d=0.00276698 t=12980
xuan zhong 	選中	c=2 d=0.00275318 t=12980
xue 	學	c=13 d=1.36394 t=12980
xue sheng 	學生	c=1 d=6.39932e-14 t=12980
xue wen 	學問	c=1 d=0.392586 t=12980
xue xi 	學習	c=5 d=0.0752409 t=12980
xue xi qu xian 	學習曲線	c=1 d=1.18611e-08 t=12980
xue xi xue xi 	學習學習	c=1 d=0.00279479 t=12980
xue xiao 	學校	c=2 d=4.86937e-05 t=12980
xue yu 	雪域	c=1 d=0.425283 t=12980
xue yuan 	學院	c=3 d=0.429557 t=12980
xun 	荀	c=1 d=0.000185956 t=12980
xun huan 	循環	c=3 d=0.151595 t=12980
xun zhao 	尋找	c=1 d=1.88831e-08 t=12980
ya 	呀	c=7 d=0.167863 t=12980
ya gen 	壓根	c=1 d=0.000757869 t=12980
ya li 	壓力	c=6 d=1.38236 t=12980
ya li da 	壓力大	c=3 d=0.612626 t=12980
ya suo 	壓縮	c=1 d=0.107442 t=12980
yan bian 	演變	c=1 d=1.21007e-08 t=12980
yan jiu 	研究	c=2 d=0.293758 t=12980
yan shi 	演示	c=1 d=9.37546e-07 t=12980
yan zhan 	延展	c=7 d=0.167513 t=12980
yan zheng 	驗證	c=4 d=7.78353e-10 t=12980
yan zheng ma 	驗證碼	c=1 d=0.00516939 t=12980
yang shi 	樣式	c=2 d=3.95997e-06 t=12980
yao 	要	c=39 d=0.905463 t=12980
yao bu 	要不	c=12 d=1.35494 t=12980
yao bu shuo 	要不說	c=1 d=0.138069 t=12980
yao bu yao 	要不要	c=3 d=0.329559 t=12980
yao hui 	要回	c=0 d=2.88735e-05 t=12980
yao hui qu la 	要回唿喇	c=1 d=0.000290183 t=12980
yao mei 	妖媚	c=0 d=5.53084e-05 t=12980
yao qiu 	要求	c=9 d=0.843647 t=12980
yao qu 	要去	c=2 d=0.339596 t=12980
yao shi 	要是	c=6 d=1.20505 t=12980
yao shi 	鑰匙	c=2 d=0.546074 t=12980
yao shi yong 	要使用	c=1 d=2.35298e-08 t=12980
yao shuo 	要說	c=0 d=0.0559898 t=12980
yao wo 	要我	c=1 d=0.171187 t=12980
yao yi fen 	要一份	c=1 d=3.51082e-10 t=12980
yao yong 	要用	c=1 d=0.171187 t=12980
ye 	頁	c=34 d=1.28851 t=12980
ye bu 	也不	c=0 d=4.79817e-06 t=12980
ye bu jian yi 	也不建議	c=1 d=1.49284e-08 t=12980
ye bu neng 	也不能	c=1 d=0.0178634 t=12980
ye bu rang 	也不讓	c=1 d=4.82073e-05 t=12980
ye bu rang 	頁不讓	c=1 d=4.79669e-05 t=12980
ye bu shi 	也不是	c=0 d=9.53854e-05 t=12980
ye de 	也得	c=2 d=0.000642592 t=12980
ye dou 	也都	c=1 d=2.18357e-07 t=12980
ye dou shi 	也都是	c=3 d=0.71554 t=12980
ye dou tong 	也都通	c=1 d=2.19353e-06 t=12980
ye hao 	也好	c=0 d=3.21641e-10 t=12980
ye hao le 	也好了	c=1 d=3.23253e-09 t=12980
ye jiu 	也就	c=3 d=0.287941 t=12980
ye kan 	也看	c=0 d=9.56323e-06 t=12980
ye kan bu jian 	也看不見	c=1 d=0.024234 t=12980
ye kan bu ming bai 	也看不明白	c=1 d=9.61117e-05 t=12980
ye ke yi 	也可以	c=4 d=4.26326e-10 t=12980
ye mei 	也沒	c=1 d=0.67032 t=12980
ye mei kong 	也沒空	c=1 d=2.63974e-08 t=12980
ye mei shi 	也沒事	c=1 d=8.74311e-09 t=12980
ye mei wen ti 	也沒問題	c=1 d=9.42406e-09 t=12980
ye mei xie 	也沒寫	c=1 d=1.11974e-07 t=12980
ye mei you 	也沒有	c=3 d=0.609571 t=12980
ye mian 	頁面	c=5 d=1.41613e-05 t=12980
ye neng 	也能	c=3 d=0.197089 t=12980
ye que shi 	也確實	c=1 d=0.000320701 t=12980
ye shi 	也是	c=13 d=0.353455 t=12980
ye suan shi 	也算是	c=1 d=0.900325 t=12980
ye wu 	業務	c=31 d=0.67368 t=12980
ye wu ming cheng 	業務名稱	c=1 d=3.6084e-09 t=12980
ye xue 	也學	c=1 d=2.71967e-06 t=12980
ye yao 	也要	c=4 d=0.0184074 t=12980
ye zai 	也在	c=1 d=2.48644e-10 t=12980
yi 	一	c=3 d=0.00035248 t=12980
yi 	以	c=10 d=0.00860409 t=12980
yi 	億	c=1 d=6.91205e-09 t=12980
yi ban 	一半	c=1 d=0.000209665 t=12980
yi ban 	一般	c=8 d=1.59338 t=12980
yi bian 	以便	c=2 d=0.00730391 t=12980
yi bian chuang jian 	以便創建	c=1 d=2.49203e-07 t=12980
yi bu 	一步	c=1 d=0.00941925 t=12980
yi bu yi ge 	一步一個	c=1 d=0.0143357 t=12980
yi chang 	異常	c=1 d=5.05825e-12 t=12980
yi chu 	移除	c=3 d=1.28547 t=12980
yi ci 	一次	c=3 d=0.255381 t=12980
yi ci 	依次	c=1 d=0.000160054 t=12980
yi da ba 	一大把	c=1 d=3.26558e-11 t=12980
yi dian 	一點	c=1 d=0.00492917 t=12980
yi dian bu 	一點不	c=0 d=2.58123e-10 t=12980
yi dian bu sa huang 	一點不撒謊	c=1 d=2.59417e-09 t=12980
yi dian wen ti 	一點問題	c=1 d=0.0495388 t=12980
yi ding 	一定	c=1 d=0.722527 t=12980
yi ding yao 	一定要	c=1 d=0.161218 t=12980
yi dong 	移動	c=5 d=0.126651 t=12980
yi dui 	一堆	c=1 d=0.0291588 t=12980
yi dui yi 	一對一	c=2 d=1.59006e-07 t=12980
yi dun 	一頓	c=4 d=0.269825 t=12980
yi e 	溢惡	c=1 d=0.031273 t=12980
yi fen 	一份	c=2 d=1.33982e-09 t=12980
yi gai guo 	以改過	c=1 d=3.26391e-05 t=12980
yi ge 	一個	c=64 d=1.23895 t=12980
yi ge ren 	一個人	c=1 d=0.0168231 t=12980
yi guan li 	易管理	c=1 d=1.43455e-10 t=12980
yi hou 	以後	c=5 d=0.00090737 t=12980
yi hu er 	一忽兒	c=1 d=7.05048e-07 t=12980
yi huan 	一環	c=1 d=0.348192 t=12980
yi hui er 	一會兒	c=6 d=0.337909 t=12980
yi ji 	以及	c=4 d=0.00297384 t=12980
yi jia 	一家	c=1 d=0.00171216 t=12980
yi jian shi 	一件事	c=1 d=0.164474 t=12980
yi jing 	已經	c=13 d=0.0572711 t=12980
yi ju hua 	一句話	c=1 d=0.0555762 t=12980
yi ka tong 	一卡通	c=20 d=0.0528316 t=12980
yi kai shi 	一開始	c=1 d=0.0399551 t=12980
yi kan 	一看	c=2 d=0.486752 t=12980
yi lang 	伊朗	c=1 d=3.45021e-11 t=12980
yi lie 	一列	c=1 d=0.0372538 t=12980
yi lu 	一路	c=1 d=1.21908e-07 t=12980
yi qi 	一期	c=1 d=4.01827e-10 t=12980
yi qi 	一起	c=3 d=0.00202943 t=12980
yi qian 	以前	c=2 d=0.606971 t=12980
yi qing 	疫情	c=2 d=0.000130482 t=12980
yi qu 	一區	c=5 d=0.107096 t=12980
yi que ren 	已確認	c=1 d=6.625e-10 t=12980
yi sheng 	一聲	c=1 d=0.214381 t=12980
yi sheng 	醫生	c=1 d=0.213312 t=12980
yi sheng za yang 	醫生咋樣	c=1 d=0.0149208 t=12980
yi shuo 	一說	c=1 d=0.0941765 t=12980
yi si 	意思	c=3 d=4.37781e-05 t=12980
yi si 	疑似	c=5 d=0.875933 t=12980
yi si bing li 	疑似病例	c=1 d=0.474734 t=12980
yi sou 	一艘	c=1 d=3.24929e-11 t=12980
yi tai 	一臺	c=7 d=0.677057 t=12980
yi tai ji qi 	一臺機器	c=1 d=2.56129e-06 t=12980
yi tai yi tai 	一臺一臺	c=1 d=5.22223e-05 t=12980
yi tao 	一套	c=4 d=0.0345423 t=12980
yi tao lian 	一套連	c=2 d=0.316637 t=12980
yi tian 	一天	c=8 d=1.48194 t=12980
yi tiao 	一條	c=1 d=1.49335e-12 t=12980
yi ting 	一聽	c=1 d=0.0135009 t=12980
yi tu 	意圖	c=2 d=0.00362709 t=12980
yi wei 	一位	c=2 d=2.85316e-07 t=12980
yi wei 	以爲	c=2 d=0.350338 t=12980
yi wei zhe 	意味着	c=1 d=0.00524752 t=12980
yi xia 	一下	c=21 d=0.658004 t=12980
yi xia 	以下	c=1 d=5.56141e-10 t=12980
yi xia zi 	一下子	c=1 d=0.00794669 t=12980
yi xiao bu fen 	一小部分	c=1 d=1.38809e-05 t=12980
yi xie 	一些	c=2 d=0.00021314 t=12980
yi xue 	一學	c=1 d=0.0713613 t=12980
yi yan 	一眼	c=1 d=2.90281e-08 t=12980
yi yang 	一樣	c=2 d=6.90459e-07 t=12980
yi yi 	意義	c=3 d=0.00124189 t=12980
yi yuan 	醫院	c=1 d=0.0146253 t=12980
yi yue fen 	一月份	c=1 d=0.00336274 t=12980
yi zhang 	一張	c=2 d=9.8262e-09 t=12980
yi zhen 	一陣	c=1 d=0.000259956 t=12980
yi zheng 	一整	c=1 d=0.000174253 t=12980
yi zhi 	一直	c=3 d=0.514666 t=12980
yi zhi 	一致	c=2 d=9.59869e-10 t=12980
yi zhi 	移植	c=2 d=5.50741e-08 t=12980
yi zhi kai huang yi zhi shuang 	一直開荒一直爽	c=1 d=0.472367 t=12980
yi zhi xing 	一致性	c=1 d=1.61717e-08 t=12980
yi zhong 	一種	c=5 d=1.55019e-05 t=12980
yi zhou 	一週	c=1 d=0.0578443 t=12980
yi zu 	一組	c=7 d=2.22878e-05 t=12980
yin cang 	隱藏	c=1 d=0.628135 t=12980
yin ci 	因此	c=2 d=8.73219e-05 t=12980
yin dao 	引導	c=0 d=9.73454e-09 t=12980
yin dao bu liao 	引導不了	c=1 d=9.78334e-08 t=12980
yin pai 	銀牌	c=0 d=6.51063e-12 t=12980
yin qing 	引擎	c=3 d=2.1936e-05 t=12980
yin si 	隱私	c=1 d=1.11472e-13 t=12980
yin wei 	因爲	c=9 d=1.85524e-05 t=12980
yin yong 	引用	c=5 d=0.12938 t=12980
yin yue 	音樂	c=2 d=0.185444 t=12980
ying gai 	應該	c=20 d=1.76972 t=12980
